Company Name,Environmental Pillar Score,Social Pillar Score,Corporate Governance Pillar Score,Financial Score
PHV,88.2,96.64,93.0,89.76
David Jones Deferred,72.2,78.17,88.37,88.6
Gap,70.49,71.65,94.41,96.91
Gildan Activewear,90.37,94.15,92.94,69.85
Marks & Spencer B,91.6,93.1,92.31,61.5
Nordstrom,84.21,83.32,80.21,69.15
Next,88.0,87.38,85.66,50.59
Richemont Secs. (BER),82.74,91.05,44.1,97.77
Inditex,85.08,92.45,69.38,56.29
V F,83.92,55.56,80.83,70.46
Truwoths Intl,39.95,90.71,69.88,78.43
L Brands,56.2,72.05,73.01,60.58
Louis Vuitton (EAS),90.78,91.33,36.95,61.72
Pacific Brands,79.58,58.71,74.51,75.92
Foschini (XSQ),45.77,92.98,53.29,61.45
Burberry Group,57.98,74.09,73.61,54.86
MR Price Group,17.04,84.71,54.59,88.59
Christian Dior,83.51,86.59,33.58,36.42
Wacoal HDG.,73.23,51.02,10.6,82.11
Fast Retailing,63.59,76.42,10.41,62.24
Oroton Group,14.21,20.65,24.0,35.9
Giordano Intl.,23.71,42.62,33.22,11.02
Urban Outfitters,10.74,16.23,49.69,16.36
Ruentex Industries,9.81,5.35,1.68,44.53
China Dong  Xiang,13.35,10.78,21.7,2.11
Gunze,28.8,9.4,2.04,10.74
Onward Holdings,35.81,9.44,2.67,13.18
Ports Design,11.09,12.78,14.86,7.88
Aoyama Trading,20.08,4.09,2.07,17.15
Bosideng Intl. Holdings,13.1,7.87,10.99,12.71
Eclat Textile,15.14,4.72,1.91,6.48
Shimamura,8.76,3.77,1.9,5.01
Tainan Spinning,9.81,4.03,1.61,5.84
